Datum,Gewicht (g)
16/04/2020,1197
25/04/2020,632
28/04/2020,743
5/5/2020,595
11/5/2020,833
19/05/2020,1087
28/05/2020,490
2/6/2020,607
14/06/2020,515
26/06/2020,634
3/7/2020,766
11/7/2020,663
19/7/2020,170
24/7/2020,672
3/8/2020,394
12/8/2020,151
15/8/2020,246
21/8/2020,454
3/9/2020,261
8/9/2020,193
11/9/2020,192
16/9/2020,371
28/09/2020,323
3/10/2020,256
9/10/2020,204
17/10/2020,383
25/10/2020,246
31/10/2020,310
7/11/2020,56
15/11/2020,190
18/11/2020,247
29/11/2020,303
20/01/2021,278
26/01/2021,430
1/2/2021,402
